parameter,description,type,hex_address,address,resolution,alterability
UsrVal.3.Units,Units of the value,uint8,0x0520,1312,Not applicable,RW
UsrVal.3.Resolution,User Value Display Resolution,uint8,0x0521,1313,Not applicable,RW
UsrVal.3.HighLimit,User Value High Limit,float32,0x0522,1314,Set by UsrVal.3.Resolution,RW
UsrVal.3.LowLimit,User Value Low Limit,float32,0x0523,1315,Set by UsrVal.3.Resolution,RW
UsrVal.3.Val,The User Value,float32,0x0524,1316,Set by UsrVal.3.Resolution,RW
UsrVal.3.Status,User Value Status,uint8,0x0525,1317,Not applicable,RW
UsrVal.4.Units,Units of the value,uint8,0x0528,1320,Not applicable,RW
UsrVal.4.Resolution,User Value Display Resolution,uint8,0x0529,1321,Not applicable,RW
UsrVal.4.HighLimit,User Value High Limit,float32,0x052a,1322,Set by UsrVal.4.Resolution,RW
UsrVal.4.LowLimit,User Value Low Limit,float32,0x052b,1323,Set by UsrVal.4.Resolution,RW
UsrVal.4.Val,The User Value,float32,0x052c,1324,Set by UsrVal.4.Resolution,RW
UsrVal.4.Status,User Value Status,uint8,0x052d,1325,Not applicable,RW
Lgc2.1.Oper,Logic Operation,uint8,0x0530,1328,Not applicable,RW
Lgc2.1.In1,Input Value 1,float32,0x0531,1329,"0dp, or if wired, inherited from wire source",RW
Lgc2.1.In2,Input Value 2,float32,0x0532,1330,"0dp, or if wired, inherited from wire source",RW
Lgc2.1.FallbackType,Fallback Condition,uint8,0x0533,1331,Not applicable,RW
Lgc2.1.Invert,Sense of Input Value,uint8,0x0534,1332,Not applicable,RW
Lgc2.1.Out,The Result,bool,0x0535,1333,Not applicable,RO
Lgc2.1.OutputStatus,Output Status,uint8,0x0536,1334,Not applicable,RO
Lgc2.2.Oper,Logic Operation,uint8,0x0538,1336,Not applicable,RW
Lgc2.2.In1,Input Value 1,float32,0x0539,1337,"0dp, or if wired, inherited from wire source",RW
Lgc2.2.In2,Input Value 2,float32,0x053a,1338,"0dp, or if wired, inherited from wire source",RW
Lgc2.2.FallbackType,Fallback Condition,uint8,0x053b,1339,Not applicable,RW
Lgc2.2.Invert,Sense of Input Value,uint8,0x053c,1340,Not applicable,RW
Lgc2.2.Out,The Result,bool,0x053d,1341,Not applicable,RO
Lgc2.2.OutputStatus,Output Status,uint8,0x053e,1342,Not applicable,RO
Lgc2.3.Oper,Logic Operation,uint8,0x0540,1344,Not applicable,RW
Lgc2.3.In1,Input Value 1,float32,0x0541,1345,"0dp, or if wired, inherited from wire source",RW
Lgc2.3.In2,Input Value 2,float32,0x0542,1346,"0dp, or if wired, inherited from wire source",RW
Lgc2.3.FallbackType,Fallback Condition,uint8,0x0543,1347,Not applicable,RW
Lgc2.3.Invert,Sense of Input Value,uint8,0x0544,1348,Not applicable,RW
Lgc2.3.Out,The Result,bool,0x0545,1349,Not applicable,RO
Lgc2.3.OutputStatus,Output Status,uint8,0x0546,1350,Not applicable,RO
Lgc2.4.Oper,Logic Operation,uint8,0x0548,1352,Not applicable,RW
Lgc2.4.In1,Input Value 1,float32,0x0549,1353,"0dp, or if wired, inherited from wire source",RW
Lgc2.4.In2,Input Value 2,float32,0x054a,1354,"0dp, or if wired, inherited from wire source",RW
Lgc2.4.FallbackType,Fallback Condition,uint8,0x054b,1355,Not applicable,RW
Lgc2.4.Invert,Sense of Input Value,uint8,0x054c,1356,Not applicable,RW
Lgc2.4.Out,The Result,bool,0x054d,1357,Not applicable,RO
Lgc2.4.OutputStatus,Output Status,uint8,0x054e,1358,Not applicable,RO
Lgc8.1.Oper,Operation,uint8,0x0550,1360,Not applicable,RW
Lgc8.1.InInvert,Invert Selected Inputs,uint8,0x0551,1361,Not applicable,RW
Lgc8.1.NumIn,Number of Inputs,uint8,0x0552,1362,Not applicable,RW
Lgc8.1.In1,Input 1 Value,bool,0x0553,1363,Not applicable,RW
Lgc8.1.In2,Input 2 Value,bool,0x0554,1364,Not applicable,RW
Lgc8.1.In3,Input 3 Value,bool,0x0555,1365,Not applicable,RW
Lgc8.1.In4,Input 4 Value,bool,0x0556,1366,Not applicable,RW
Lgc8.1.In5,Input 5 Value,bool,0x0557,1367,Not applicable,RW
Lgc8.1.In6,Input 6 Value,bool,0x0558,1368,Not applicable,RW
Lgc8.1.In7,Input 7 Value,bool,0x0559,1369,Not applicable,RW
Lgc8.1.In8,Input 8 Value,bool,0x055a,1370,Not applicable,RW
Lgc8.1.Out,Output Value,bool,0x055b,1371,Not applicable,RO
Lgc8.1.OutInvert,Invert the Output,bool,0x055c,1372,Not applicable,RW
Lgc8.2.Oper,Operation,uint8,0x0560,1376,Not applicable,RW
Lgc8.2.InInvert,Invert Selected Inputs,uint8,0x0561,1377,Not applicable,RW
Lgc8.2.NumIn,Number of Inputs,uint8,0x0562,1378,Not applicable,RW
Lgc8.2.In1,Input 1 Value,bool,0x0563,1379,Not applicable,RW
Lgc8.2.In2,Input 2 Value,bool,0x0564,1380,Not applicable,RW
Lgc8.2.In3,Input 3 Value,bool,0x0565,1381,Not applicable,RW
Lgc8.2.In4,Input 4 Value,bool,0x0566,1382,Not applicable,RW
Lgc8.2.In5,Input 5 Value,bool,0x0567,1383,Not applicable,RW
Lgc8.2.In6,Input 6 Value,bool,0x0568,1384,Not applicable,RW
Lgc8.2.In7,Input 7 Value,bool,0x0569,1385,Not applicable,RW
Lgc8.2.In8,Input 8 Value,bool,0x056a,1386,Not applicable,RW
Lgc8.2.Out,Output Value,bool,0x056b,1387,Not applicable,RO
Lgc8.2.OutInvert,Invert the Output,bool,0x056c,1388,Not applicable,RW
Mux8.1.Fallback,Fallback Strategy,uint8,0x0570,1392,Not applicable,RW
Mux8.1.FallbackVal,Fallback Value,float32,0x0571,1393,"Set by Mux8.1.Resolution, or if wired, inherited from wire source",RW
Mux8.1.Select,Input Selection Switch,uint8,0x0572,1394,Not applicable,RW
Mux8.1.HighLimit,High Limit,float32,0x0573,1395,"1dp, or if wired, inherited from wire source",RW
Mux8.1.LowLimit,Low Limit,float32,0x0574,1396,"1dp, or if wired, inherited from wire source",RW
Mux8.1.In1,Input 1,float32,0x0575,1397,"1dp, or if wired, inherited from wire source",RW
Mux8.1.In2,Input 2,float32,0x0576,1398,"1dp, or if wired, inherited from wire source",RW
Mux8.1.In3,Input 3,float32,0x0577,1399,"1dp, or if wired, inherited from wire source",RW
Mux8.1.In4,Input 4,float32,0x0578,1400,"1dp, or if wired, inherited from wire source",RW
Mux8.1.In5,Input 5,float32,0x0579,1401,"1dp, or if wired, inherited from wire source",RW
Mux8.1.In6,Input 6,float32,0x057a,1402,"1dp, or if wired, inherited from wire source",RW
Mux8.1.In7,Input 7,float32,0x057b,1403,"1dp, or if wired, inherited from wire source",RW
Mux8.1.In8,Input 8,float32,0x057c,1404,"1dp, or if wired, inherited from wire source",RW
Mux8.1.Out,Output,float32,0x057d,1405,Set by Mux8.1.Resolution,RO
Mux8.1.Resolution,Resolution,uint8,0x057e,1406,Not applicable,RO
Mux8.1.Status,Status,uint8,0x057f,1407,Not applicable,RO
Mux8.2.Fallback,Fallback Strategy,uint8,0x0580,1408,Not applicable,RW
Mux8.2.FallbackVal,Fallback Value,float32,0x0581,1409,"Set by Mux8.2.Resolution, or if wired, inherited from wire source",RW
Mux8.2.Select,Input Selection Switch,uint8,0x0582,1410,Not applicable,RW
Mux8.2.HighLimit,High Limit,float32,0x0583,1411,"1dp, or if wired, inherited from wire source",RW
Mux8.2.LowLimit,Low Limit,float32,0x0584,1412,"1dp, or if wired, inherited from wire source",RW
Mux8.2.In1,Input 1,float32,0x0585,1413,"1dp, or if wired, inherited from wire source",RW
Mux8.2.In2,Input 2,float32,0x0586,1414,"1dp, or if wired, inherited from wire source",RW
Mux8.2.In3,Input 3,float32,0x0587,1415,"1dp, or if wired, inherited from wire source",RW
Mux8.2.In4,Input 4,float32,0x0588,1416,"1dp, or if wired, inherited from wire source",RW
Mux8.2.In5,Input 5,float32,0x0589,1417,"1dp, or if wired, inherited from wire source",RW
Mux8.2.In6,Input 6,float32,0x058a,1418,"1dp, or if wired, inherited from wire source",RW
Mux8.2.In7,Input 7,float32,0x058b,1419,"1dp, or if wired, inherited from wire source",RW
Mux8.2.In8,Input 8,float32,0x058c,1420,"1dp, or if wired, inherited from wire source",RW
Mux8.2.Out,Output,float32,0x058d,1421,Set by Mux8.2.Resolution,RO
Mux8.2.Resolution,Resolution,uint8,0x058e,1422,Not applicable,RO
Mux8.2.Status,Status,uint8,0x058f,1423,Not applicable,RO
Mux8.3.Fallback,Fallback Strategy,uint8,0x0590,1424,Not applicable,RW
Mux8.3.FallbackVal,Fallback Value,float32,0x0591,1425,"Set by Mux8.3.Resolution, or if wired, inherited from wire source",RW
Mux8.3.Select,Input Selection Switch,uint8,0x0592,1426,Not applicable,RW
Mux8.3.HighLimit,High Limit,float32,0x0593,1427,"1dp, or if wired, inherited from wire source",RW
Mux8.3.LowLimit,Low Limit,float32,0x0594,1428,"1dp, or if wired, inherited from wire source",RW
Mux8.3.In1,Input 1,float32,0x0595,1429,"1dp, or if wired, inherited from wire source",RW
Mux8.3.In2,Input 2,float32,0x0596,1430,"1dp, or if wired, inherited from wire source",RW
Mux8.3.In3,Input 3,float32,0x0597,1431,"1dp, or if wired, inherited from wire source",RW
Mux8.3.In4,Input 4,float32,0x0598,1432,"1dp, or if wired, inherited from wire source",RW
Mux8.3.In5,Input 5,float32,0x0599,1433,"1dp, or if wired, inherited from wire source",RW
Mux8.3.In6,Input 6,float32,0x059a,1434,"1dp, or if wired, inherited from wire source",RW
Mux8.3.In7,Input 7,float32,0x059b,1435,"1dp, or if wired, inherited from wire source",RW
Mux8.3.In8,Input 8,float32,0x059c,1436,"1dp, or if wired, inherited from wire source",RW
Mux8.3.Out,Output,float32,0x059d,1437,Set by Mux8.3.Resolution,RO
Mux8.3.Resolution,Resolution,uint8,0x059e,1438,Not applicable,RO
Mux8.3.Status,Status,uint8,0x059f,1439,Not applicable,RO
Math2.1.In1Mul,Input 1 Scale,float32,0x05a0,1440,1dp,RW
Math2.1.In1,Input 1 Value,float32,0x05a1,1441,"0dp, or if wired, inherited from wire source",RW
Math2.1.In2Mul,Input 2 Scale,float32,0x05a2,1442,1dp,RW
Math2.1.In2,Input 2 Value,float32,0x05a3,1443,"0dp, or if wired, inherited from wire source",RW
Math2.1.Oper,Operation,uint8,0x05a4,1444,Not applicable,RW
Math2.1.FallbackVal,Fallback Value,float32,0x05a5,1445,Same as Math2.1.Out,RW
Math2.1.HighLimit,Output High Limit,float32,0x05a6,1446,Same as Math2.1.Out,RW
Math2.1.LowLimit,Output Low Limit,float32,0x05a7,1447,Same as Math2.1.Out,RW
Math2.1.Out,Output Value,float32,0x05a8,1448,Set by Math2.1.Resolution,RO
Math2.1.Resolution,Output Resolution,uint8,0x05a9,1449,Not applicable,RW
Math2.1.Units,Output Units,uint8,0x05aa,1450,Not applicable,RW
Math2.1.Fallback,Fallback strategy,uint8,0x05ab,1451,Not applicable,RW
Math2.1.Select,Select Between Input 1 and Input 2,bool,0x05ac,1452,Not applicable,RW
Math2.1.Status,Status,uint8,0x05ad,1453,Not applicable,RO
Math2.2.In1Mul,Input 1 Scale,float32,0x05b0,1456,1dp,RW
Math2.2.In1,Input 1 Value,float32,0x05b1,1457,"0dp, or if wired, inherited from wire source",RW
Math2.2.In2Mul,Input 2 Scale,float32,0x05b2,1458,1dp,RW
Math2.2.In2,Input 2 Value,float32,0x05b3,1459,"0dp, or if wired, inherited from wire source",RW
Math2.2.Oper,Operation,uint8,0x05b4,1460,Not applicable,RW
Math2.2.FallbackVal,Fallback Value,float32,0x05b5,1461,Same as Math2.2.Out,RW
Math2.2.HighLimit,Output High Limit,float32,0x05b6,1462,Same as Math2.2.Out,RW
Math2.2.LowLimit,Output Low Limit,float32,0x05b7,1463,Same as Math2.2.Out,RW
Math2.2.Out,Output Value,float32,0x05b8,1464,Set by Math2.2.Resolution,RO
Math2.2.Resolution,Output Resolution,uint8,0x05b9,1465,Not applicable,RW
Math2.2.Units,Output Units,uint8,0x05ba,1466,Not applicable,RW
Math2.2.Fallback,Fallback strategy,uint8,0x05bb,1467,Not applicable,RW
Math2.2.Select,Select Between Input 1 and Input 2,bool,0x05bc,1468,Not applicable,RW
Math2.2.Status,Status,uint8,0x05bd,1469,Not applicable,RO
Math2.3.In1Mul,Input 1 Scale,float32,0x05c0,1472,1dp,RW
Math2.3.In1,Input 1 Value,float32,0x05c1,1473,"0dp, or if wired, inherited from wire source",RW
Math2.3.In2Mul,Input 2 Scale,float32,0x05c2,1474,1dp,RW
Math2.3.In2,Input 2 Value,float32,0x05c3,1475,"0dp, or if wired, inherited from wire source",RW
Math2.3.Oper,Operation,uint8,0x05c4,1476,Not applicable,RW
Math2.3.FallbackVal,Fallback Value,float32,0x05c5,1477,Same as Math2.3.Out,RW
Math2.3.HighLimit,Output High Limit,float32,0x05c6,1478,Same as Math2.3.Out,RW
Math2.3.LowLimit,Output Low Limit,float32,0x05c7,1479,Same as Math2.3.Out,RW
Math2.3.Out,Output Value,float32,0x05c8,1480,Set by Math2.3.Resolution,RO
Math2.3.Resolution,Output Resolution,uint8,0x05c9,1481,Not applicable,RW
Math2.3.Units,Output Units,uint8,0x05ca,1482,Not applicable,RW
Math2.3.Fallback,Fallback strategy,uint8,0x05cb,1483,Not applicable,RW
Math2.3.Select,Select Between Input 1 and Input 2,bool,0x05cc,1484,Not applicable,RW
Math2.3.Status,Status,uint8,0x05cd,1485,Not applicable,RO
Math2.4.In1Mul,Input 1 Scale,float32,0x05d0,1488,1dp,RW
Math2.4.In1,Input 1 Value,float32,0x05d1,1489,"0dp, or if wired, inherited from wire source",RW
Math2.4.In2Mul,Input 2 Scale,float32,0x05d2,1490,1dp,RW
Math2.4.In2,Input 2 Value,float32,0x05d3,1491,"0dp, or if wired, inherited from wire source",RW
Math2.4.Oper,Operation,uint8,0x05d4,1492,Not applicable,RW
Math2.4.FallbackVal,Fallback Value,float32,0x05d5,1493,Same as Math2.4.Out,RW
Math2.4.HighLimit,Output High Limit,float32,0x05d6,1494,Same as Math2.4.Out,RW
Math2.4.LowLimit,Output Low Limit,float32,0x05d7,1495,Same as Math2.4.Out,RW
Math2.4.Out,Output Value,float32,0x05d8,1496,Set by Math2.4.Resolution,RO
Math2.4.Resolution,Output Resolution,uint8,0x05d9,1497,Not applicable,RW
Math2.4.Units,Output Units,uint8,0x05da,1498,Not applicable,RW
Math2.4.Fallback,Fallback strategy,uint8,0x05db,1499,Not applicable,RW
Math2.4.Select,Select Between Input 1 and Input 2,bool,0x05dc,1500,Not applicable,RW
Math2.4.Status,Status,uint8,0x05dd,1501,Not applicable,RO
Total.AlarmSP,Alarm Setpoint,float32,0x05e0,1504,Same as Total.TotalOut,RW
Total.TotalOut,Totalised Output,float32,0x05e1,1505,Set by Total.Resolution,RO
Total.AlarmOut,Alarm Output,bool,0x05e2,1506,Not applicable,RO
Total.Units,Units,uint8,0x05e3,1507,Not applicable,RW
Total.Resolution,Resolution,uint8,0x05e4,1508,Not applicable,RW
Total.In,Input Value,float32,0x05e5,1509,"1dp, or if wired, inherited from wire source",RW
Total.Run,Run,bool,0x05e6,1510,Not applicable,RW
Total.Hold,Hold,bool,0x05e7,1511,Not applicable,RW
Total.Reset,Reset,bool,0x05e8,1512,Not applicable,RW
Timer.1.ElapsedTime,Elapsed Time,time_t,0x05f0,1520,Set by Comms.Fixed/Option.Main.TimeFormat,RO
Timer.1.Out,Output,bool,0x05f1,1521,Not applicable,RO
Timer.1.Time,Time,time_t,0x05f2,1522,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Timer.1.Triggered,Triggered Flag,bool,0x05f3,1523,Not applicable,RO
Timer.1.Type,Type of Timer,uint8,0x05f4,1524,Not applicable,RW
Timer.1.In,Trigger/Gate input,bool,0x05f5,1525,Not applicable,RW
Counter.1.Enable,Enable the Counter,bool,0x0600,1536,Not applicable,RW
Counter.1.Direction,Direction of Count,bool,0x0601,1537,Not applicable,RW
Counter.1.RippleCarry,Ripple Carry Enable Output,bool,0x0602,1538,Not applicable,RO
Counter.1.OverFlow,Overflow Flag,bool,0x0603,1539,Not applicable,RO
Counter.1.Clock,Clock Input,bool,0x0604,1540,Not applicable,RW
Counter.1.Target,Counter Target,int32,0x0605,1541,Not applicable,RW
Counter.1.Count,Count Value,int32,0x0606,1542,Not applicable,RO
Counter.1.Reset,Counter Reset,bool,0x0607,1543,Not applicable,RW
Counter.1.ClearOverflow,Clear OverFlow Flag,bool,0x0608,1544,Not applicable,RW
IPMonitor.1.Threshold,Timer Threshold Value,float32,0x0610,1552,1dp,RW
IPMonitor.1.In,Input,float32,0x0611,1553,"1dp, or if wired, inherited from wire source",RW
IPMonitor.1.Reset,Reset All Monitor Functions,bool,0x0612,1554,Not applicable,RW
IPMonitor.1.Max,Maximum Recorded Input Since Last Reset,float32,0x0613,1555,1dp,RO
IPMonitor.1.Min,Minimum Recorded Input Since Last Reset,float32,0x0614,1556,1dp,RO
IPMonitor.1.TimeAbove,Time in Hours Above Threshold,time_t,0x0615,1557,Set by Comms.Fixed/Option.Main.TimeFormat,RO
IPMonitor.1.Out,Timer Alarm Output,bool,0x0616,1558,Not applicable,RO
IPMonitor.1.AlarmTime,Time Above Threshold High Alarm Setpoint,time_t,0x0617,1559,Set by Comms.Fixed/Option.Main.TimeFormat,RW
IPMonitor.1.DaysAbove,Days Above Threshold,uint8,0x0618,1560,Not applicable,RO
IPMonitor.1.AlarmDays,Days Above Threshold High Alarm Setpoint,uint8,0x0619,1561,Not applicable,RW
IPMonitor.1.InStatus,Input Status,uint8,0x061a,1562,Not applicable,RO
IPMonitor.2.Threshold,Timer Threshold Value,float32,0x0620,1568,1dp,RW
IPMonitor.2.In,Input,float32,0x0621,1569,"1dp, or if wired, inherited from wire source",RW
IPMonitor.2.Reset,Reset All Monitor Functions,bool,0x0622,1570,Not applicable,RW
IPMonitor.2.Max,Maximum Recorded Input Since Last Reset,float32,0x0623,1571,1dp,RO
IPMonitor.2.Min,Minimum Recorded Input Since Last Reset,float32,0x0624,1572,1dp,RO
IPMonitor.2.TimeAbove,Time in Hours Above Threshold,time_t,0x0625,1573,Set by Comms.Fixed/Option.Main.TimeFormat,RO
IPMonitor.2.Out,Timer Alarm Output,bool,0x0626,1574,Not applicable,RO
IPMonitor.2.AlarmTime,Time Above Threshold High Alarm Setpoint,time_t,0x0627,1575,Set by Comms.Fixed/Option.Main.TimeFormat,RW
IPMonitor.2.DaysAbove,Days Above Threshold,uint8,0x0628,1576,Not applicable,RO
IPMonitor.2.AlarmDays,Days Above Threshold High Alarm Setpoint,uint8,0x0629,1577,Not applicable,RW
IPMonitor.2.InStatus,Input Status,uint8,0x062a,1578,Not applicable,RO
CT.CTEnable,Current Transformer Enable,bool,0x0630,1584,Not applicable,RW
CT.CTSource,CT Source,uint8,0x0631,1585,Not applicable,RW
CT.CTRange,CT Range,float32,0x0632,1586,Same as CT.LoadCurrent,RW
CT.CTAlarmLatchType,CT Alarm Latch Type,uint8,0x0633,1587,Not applicable,RW
CT.LoadThreshold,Low Load Current Threshold,float32,0x0634,1588,Same as CT.LoadCurrent,RW
CT.LeakThreshold,High Leakage Current Alarm,float32,0x0635,1589,Same as CT.LoadCurrent,RW
CT.OvercurrentThreshold,Over Current Alarm Threshold,float32,0x0636,1590,Same as CT.LoadCurrent,RW
CT.LeakCurrent,Measured Leakage Current,float32,0x0637,1591,Same as CT.LoadCurrent,RO
CT.LoadAlarmStatus,Load Alarm Status,bool,0x0638,1592,Not applicable,RO
CT.LeakAlarmStatus,Leak Alarm Status.,bool,0x0639,1593,Not applicable,RO
CT.OverAlarmStatus,Over Current Alarm Status,bool,0x063a,1594,Not applicable,RO
CT.CTAlarmAck,CT Alarm acknowledge,bool,0x063b,1595,Not applicable,RW
CT.CTAlarmHys,CT Alarm hysteresis value.,uint8,0x063c,1596,Not applicable,RW
BCD.BcdInput1,Bcd Input 1,bool,0x0640,1600,Not applicable,RW
BCD.BcdInput2,Bcd Input 2,bool,0x0641,1601,Not applicable,RW
BCD.BcdInput3,Bcd Input 3,bool,0x0642,1602,Not applicable,RW
BCD.BcdInput4,Bcd Input 4,bool,0x0643,1603,Not applicable,RW
BCD.BcdInput5,Bcd Input 5,bool,0x0644,1604,Not applicable,RW
BCD.BcdInput6,Bcd Input 6,bool,0x0645,1605,Not applicable,RW
BCD.BcdInput7,Bcd Input 7,bool,0x0646,1606,Not applicable,RW
BCD.BcdInput8,Bcd Input 8,bool,0x0647,1607,Not applicable,RW
BCD.BcdOP,BCD Output Value,uint8,0x0648,1608,Not applicable,RO
BCD.BcdSettleTime,Settle Time,float32,0x064b,1611,1dp,RW
Loop.Main.Mode,Active operating mode,uint8,0x0650,1616,Not applicable,RO
Loop.Main.Track,Select output Track mode,bool,0x0653,1619,Not applicable,RW
Loop.Main.F_Man,Select Forced Manual mode,bool,0x0654,1620,Not applicable,RW
Loop.Main.IntBal,Perform an integral balance,bool,0x0656,1622,Not applicable,RW
Loop.Main.SPSource,Active setpoint source,uint8,0x0657,1623,Not applicable,RO
Loop.Config.Ch2ControlType,Channel 2/cool control type,uint8,0x0670,1648,Not applicable,RW
Loop.Config.PropBandUnits,Proportional band units,uint8,0x0671,1649,Not applicable,RW
Loop.Config.RecoveryMode,Recovery strategy,uint8,0x0672,1650,Not applicable,RW
Loop.Config.AutoManAccess,AutoMan HMI access level,uint8,0x0673,1651,Not applicable,RW
Loop.Config.SetpointAccess,Setpoints HMI access level,uint8,0x0674,1652,Not applicable,RW
Loop.Config.ManOPAccess,ManualOP HMI access level,uint8,0x0675,1653,Not applicable,RW
Loop.Setpoint.PSPSelect,Select the program setpoint,bool,0x0680,1664,Not applicable,RW
Loop.Setpoint.PSP,Program Setpoint,float32,0x0681,1665,Same as Loop.Main.PV,RW
Loop.Setpoint.RSP_En,Enable the RSP input,bool,0x0682,1666,Not applicable,RW
Loop.Setpoint.SPRateDown,Setpoint down rate limit,float32,0x0683,1667,Same as Loop.Main.PV,RW
Loop.Setpoint.SPRateDisable,Disable setpoint rate limits,bool,0x0684,1668,Not applicable,RW
Loop.Setpoint.SPRateServo,Rate limit servo to PV enable,bool,0x0685,1669,Not applicable,RW
Loop.Setpoint.SPIntBal,SP change integral balance enable,bool,0x0686,1670,Not applicable,RW
Loop.Setpoint.BackCalcPV,Back-calculated PV,float32,0x0687,1671,Same as Loop.Main.PV,RO
Loop.Setpoint.BackCalcSP,Back-calculated SP,float32,0x0688,1672,Same as Loop.Main.PV,RO
Loop.Setpoint.SPRateDone,Setpoint ramp complete,bool,0x0689,1673,Not applicable,RO
